date,gage_height_ft
2015-01-01,6.55
2015-01-02,3.88
2015-01-03,2.44
2015-01-04,3.64
2015-01-05,5.49
2015-01-06,3.09
2015-01-07,2.21
2015-01-08,1.31
2015-01-09,0.8
2015-01-10,1.03
2015-01-11,1.8
2015-01-12,3.47
2015-01-13,2.5
2015-01-14,2.51
2015-01-15,2.43
2015-01-16,2.96
2015-01-17,3.19
2015-01-18,3.18
2015-01-19,2.97
2015-01-20,3.37
2015-01-21,3.32
2015-01-22,3.16
2015-01-23,3.36
2015-01-24,3.72
2015-01-25,3.24
2015-01-26,4.27
2015-01-27,3.89
2015-01-28,3.71
2015-01-29,4.56
2015-01-30,4.71
2015-01-31,4.25
2015-02-01,4.12
2015-02-02,4.91
2015-02-03,3.52
2015-02-04,4.22
2015-02-05,5.76
2015-02-06,5.41
2015-02-07,5.32
2015-02-08,5.53
2015-02-09,5.22
2015-02-10,4.92
2015-02-11,5.33
2015-02-12,6.09
2015-02-13,5.67
2015-02-14,5.65
2015-02-15,6.04
2015-02-16,4.91
2015-02-17,3.8
2015-02-18,4.49
2015-02-19,3.64
2015-02-20,3.27
2015-02-21,3.96
2015-02-22,4.53
2015-02-23,3.21
2015-02-24,2.01
2015-02-25,2.15
2015-02-26,2.97
2015-02-27,2.09
2015-02-28,1.15
2015-03-01,1.62
2015-03-02,2.49
2015-03-03,2.26
2015-03-04,1.99
2015-03-05,1.29
2015-03-06,1.29
2015-03-07,1.78
2015-03-08,1.94
2015-03-09,3.13
2015-03-10,3.81
2015-03-11,5.68
2015-03-12,7.07
2015-03-13,8.33
2015-03-14,10.19
2015-03-15,10.7
2015-03-16,10.86
2015-03-17,11.36
2015-03-18,11.89
2015-03-19,12.52
2015-03-20,12.6
2015-03-21,12.26
2015-03-22,10.34
2015-03-23,9.44
2015-03-24,9.31
2015-03-25,9.3
2015-03-26,10.27
2015-03-27,10.8
2015-03-28,11.17
2015-03-29,10.82
2015-03-30,10.65
2015-03-31,9.63
2015-04-01,8.71
2015-04-02,8.21
2015-04-03,8.65
2015-04-04,8.91
2015-04-05,10.52
2015-04-06,9.13
2015-04-07,8.71
2015-04-08,11.05
2015-04-09,12.6
2015-04-10,16.48
2015-04-11,13.21
2015-04-12,11.29
2015-04-13,10.74
2015-04-14,10.65
2015-04-15,10.59
2015-04-16,10.5
2015-04-17,12.56
2015-04-18,13.25
2015-04-19,12.68
2015-04-20,12.48
2015-04-21,12.07
2015-04-22,12.27
2015-04-23,11.75
2015-04-24,12.4
2015-04-25,12.38
2015-04-26,12.67
2015-04-27,11.72
2015-04-28,11.47
2015-04-29,12.01
2015-04-30,12.47
2015-05-01,11.75
2015-05-02,10.86
2015-05-03,9.69
2015-05-04,8.28
2015-05-05,7.04
2015-05-06,7.41
2015-05-07,8.59
2015-05-08,8.38
2015-05-09,10.21
2015-05-10,12.31
2015-05-11,13.06
2015-05-12,13.49
2015-05-13,15.15
2015-05-14,14.2
2015-05-15,13.95
2015-05-16,14.21
2015-05-17,15.19
2015-05-18,15.87
2015-05-19,17.02
2015-05-20,20.9
2015-05-21,22.4
2015-05-22,21.77
2015-05-23,21.4
2015-05-24,20.14
2015-05-25,18.94
2015-05-26,19.46
2015-05-27,21.87
2015-05-28,23.43
2015-05-29,23.56
2015-05-30,24.79
2015-05-31,26.25
2015-06-01,26.58
2015-06-02,25.34
2015-06-03,24.23
2015-06-04,23.1
2015-06-05,22.58
2015-06-06,23.23
2015-06-07,25.37
2015-06-08,27.04
2015-06-09,28.81
2015-06-10,30.0
2015-06-11,29.63
2015-06-12,27.93
2015-06-13,25.86
2015-06-14,25.23
2015-06-15,27.82
2015-06-17,32.06
2015-06-18,33.28
2015-06-19,34.77
2015-06-20,36.3
2015-06-21,36.73
2015-06-22,36.53
2015-06-24,36.66
2015-06-26,36.12
2015-06-27,35.86
2015-06-28,36.69
2015-06-29,37.48
2015-07-01,38.11
2015-07-02,37.52
2015-07-03,37.2
2015-07-04,36.94
2015-07-05,36.32
2015-07-06,35.08
2015-07-07,33.37
2015-07-08,31.66
2015-07-09,31.67
2015-07-10,33.87
2015-07-11,35.39
2015-07-12,34.96
2015-07-13,33.87
2015-07-14,33.69
2015-07-15,33.8
2015-07-16,33.47
2015-07-17,31.98
2015-07-18,29.89
2015-07-19,28.84
2015-07-20,29.91
2015-07-21,31.61
2015-07-22,32.3
2015-07-23,32.21
2015-07-24,31.07
2015-07-25,29.36
2015-07-26,27.05
2015-07-27,26.09
2015-07-28,26.52
2015-07-29,26.61
2015-07-30,26.59
2015-07-31,26.29
2015-08-01,25.55
2015-08-02,24.93
2015-08-03,23.87
2015-08-04,23.04
2015-08-05,21.96
2015-08-06,21.6
2015-08-07,19.99
2015-08-08,18.32
2015-08-09,16.59
2015-08-10,15.97
2015-08-11,14.89
2015-08-12,15.2
2015-08-13,16.3
2015-08-14,17.68
2015-08-15,16.62
2015-08-16,14.46
2015-08-17,12.6
2015-08-18,11.28
2015-08-19,11.49
2015-08-20,11.51
2015-08-21,10.19
2015-08-22,10.27
2015-08-23,11.42
2015-08-24,11.8
2015-08-25,12.1
2015-08-26,11.58
2015-08-27,10.43
2015-08-28,9.81
2015-08-29,8.89
2015-08-30,8.94
2015-08-31,8.54
2015-09-01,8.79
2015-09-02,8.35
2015-09-03,8.17
2015-09-04,8.89
2015-09-05,9.5
2015-09-06,9.15
2015-09-07,8.82
2015-09-08,8.29
2015-09-09,8.5
2015-09-10,7.87
2015-09-11,8.43
2015-09-12,9.96
2015-09-13,11.23
2015-09-14,12.04
2015-09-15,11.35
2015-09-16,9.95
2015-09-17,9.66
2015-09-18,9.21
2015-09-19,8.78
2015-09-20,8.95
2015-09-21,10.54
2015-09-22,10.8
2015-09-23,10.57
2015-09-24,9.33
2015-09-25,8.72
2015-09-26,8.3
2015-09-27,8.02
2015-09-28,7.11
2015-09-29,6.22
2015-09-30,8.19
2015-10-01,8.79
2015-10-02,8.39
2015-10-03,7.45
2015-10-04,6.39
2015-10-05,6.02
2015-10-06,5.8
2015-10-07,5.49
2015-10-08,5.18
2015-10-09,4.24
2015-10-10,3.74
2015-10-11,3.36
2015-10-12,3.1
2015-10-13,3.28
2015-10-14,3.63
2015-10-15,3.24
2015-10-16,2.98
2015-10-17,2.44
2015-10-18,1.98
2015-10-19,1.86
2015-10-20,1.74
2015-10-21,1.86
2015-10-22,2.05
2015-10-23,2.21
2015-10-24,2.57
2015-10-25,2.43
2015-10-26,2.16
2015-10-27,1.35
2015-10-28,2.22
2015-10-29,3.04
2015-10-30,3.1
2015-10-31,3.75
2015-11-01,4.48
2015-11-02,5.01
2015-11-03,5.05
2015-11-04,5.76
2015-11-05,7.17
2015-11-06,7.29
2015-11-07,6.64
2015-11-08,6.45
2015-11-09,6.16
2015-11-10,5.83
2015-11-11,6.0
